,sentences,entity_1_mention,entity_2_mention,type,kfold
0,"aim: to assess the effects of  <e1> radix bupleuri </e1>  and vinegar-baked radix <e2> cytochrome 450 </e2> ytochrome 450 activity of rats. methods: six probe drugs (caffeine, midazolam, dextromethorphan, tolbutamide, omeprazole, chlorzoxazone) were simultaneously given to rats after different dosing of radix bupleuri or vinegar-baked radix bupleuri for seven days.",radix bupleuri,cytochrome 450,SPECULATIVE,0
1,"aim: to examine the growth inhibitory effects of phyllanthus emblica (p. emblica) and terminalia bellerica ( <e1> t. bellerica </e1> ) extracts on human hepatocellular carcinoma (hepg2), and lung carcinoma (a549) cells and their synergistic <e2> doxorubicin </e2> h doxorubicin or cisplatin. methods: hepg2 and a549 cells were treated with p. emblica and t. bellerica extracts either alone or in combination with doxorubicin or cisplatin and effects on cell growth were determined using the sulforhodamine b (srb) assay.",t. bellerica,doxorubicin,SPECULATIVE,0
2,"herbal medicine regimens containing radix bupleuri, fructus gardenia,  <e1> fructus schisandrae </e1> , radix rehmanniae, akebia caulis, and semen plantaginis in concomitant use with quetiapine, cl <e2> olanzepine </e2> nd olanzepine were associated with nearly 60% of the risk of adverse outcomes. conclusions : concomitant herbal and antipsychotic treatment could produce either beneficial or adverse clinical effects in schizophrenic population.",fructus schisandrae,olanzepine,POSITIVE,0
3,"interactions of several commonly used herbal medicines, such as ginko biloba,  <e1> milk thistle </e1> , and st. john's wort, with therapeutic drugs includi <e2> midazolam </e2> in, midazolam, alprazolam, indinavir, saquinavir, digoxin, nifedipine, cyclosporine, tacrolimus, irinotecan, and imatinib in humans have been reported.",milk thistle,midazolam,POSITIVE,0
4,"conclusions: ginkgo and  <e1> ginger </e1>  at recommended doses do not significantly affect clotting status, the pharmacokinetics or pharmac <e2> warfarin </e2> s of warfarin in healthy subjects.",ginger,warfarin,NEGATIVE,0
5,"previous in vitro studies indicate that  <e1> curcuminoids </e1>  and piperine (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cy <e2> ugt </e2> , cyp2c9, ugt and sult dependent drug metabolism.",curcuminoids,ugt,POSITIVE,0
6,"after stopping treatment with  <e1> st john's  <e2> cyclosporine </e2>  cyclosporine blood levels remained within the therapeutic range. conclusion: apart from an increased risk of graft rejection, the interaction also had cost implications because the dosage of this expensive drug had to be increased.",st john's wort,cyclosporine,POSITIVE,0
7,"aim: to determine whether customary exposure to  <e1> grapefruit </e1>  juice (gfj) alters serum concentrations, effectiveness, and potential advers <e2> atorvastatin </e2>  atorvastatin in patients requiring the medication. methods: patients receiving extended treatment with atorvastatin (10, 20 or 40 mg day(-1)) at a stable dose received 300 ml day(-1) of 100% gfj for a period of 90 days.",grapefruit,atorvastatin,SPECULATIVE,0
8,"in vitro studies from our laboratory suggest that short-term exposure with pure herbal agents such as hypericin, kaempferol and  <e1> quercetin </e1>  or extract of sjw resulted in higher uptake or influx of r <e2> erythromycin </e2>  erythromycin.",quercetin,erythromycin,POSITIVE,0
9,"in transplant patients, self-medication with  <e1> st john's wort </e1>  (hypericum perforatum) has led to a drop in plasma levels of the immunosupp <e2> cyclosporine </e2>  cyclosporine, causing tissue rejection.",st john's wort,cyclosporine,POSITIVE,0
10,digoxin-like immunoreactive substances (dliss) showed synergistic effects with  <e2> ginsengs </e2>  in interfering with the fpia and meia for  <e1> digoxin </e1> .,digoxin,ginsengs,POSITIVE,0
11,"radix bupleuri and  <e1> vinegar-baked radix bupleuri </e1>  have strong induction effects on the cyp2e1 <e2> cyp3a4 </e2> d6 and cyp3a4, however, have no impact on cyp1a2.",vinegar-baked radix bupleuri,cyp3a4,POSITIVE,0
12,"aim of the study: the antithrombotic effect of danggui and honghua, herbs commonly used in traditional chinese medicine to treat the syndrome corresponding to vascular thrombosis, and their potential interactions with clopidogrel were investigated. materials and methods: the efficacy of  <e1> danggui </e1> , honghua alone or comb <e2> clopidogrel </e2> h clopidogrel was determined in three experimental models.",danggui,clopidogrel,SPECULATIVE,0
