,sentences,entity_1_mention,entity_2_mention,type,kfold
0,and the pharmacokinetic interaction between <e2> indomethacin </e2> and <e1> a. officinarum </e1> reduced the systemic exposure of <e2> indomethacin </e2> and increased its elimination,a. officinarum,indomethacin,POSITIVE,0
1,". results: it was observed that there a significant differences in the cmax, auc, aumc, t1/2, and mrt of <e2> theophylline </e2> when coadministered with <e1> commiphora myrrha </e1> which indicate that the herb affect the metabolism and elimination when coadministered with <e2> theophylline </e2> ",commiphora myrrha,theophylline,POSITIVE,0
2,"by taking advantage of the high protein binding of <e1> chan su </e1> and only 25% protein binding of <e2> digoxin </e2>, we further demonstrated that positive interference of <e1> chan su </e1> in the fpia and negative interference of <e1> chan su </e1> in the meia of <e2> digoxin </e2> could be eliminated by monitoring the free <e2> digoxin </e2> concentration",chan su,digoxin,POSITIVE,0
3,"previous in vitro studies indicate that curcuminoids and <e1> piperine </e1> (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, cyp2c9, <e2> ugt </e2> and sult dependent drug metabolism",piperine,ugt,POSITIVE,0
4,.63 ng/ml <e2> digoxin </e2>) increase in <e2> digoxin </e2> concentration when an aliquot of <e2> digoxin </e2> pool 1 (1.10 ng/ml <e2> digoxin </e2>) was supplemented with 50 microl of <e1> asian ginseng </e1> extract (brand 2),asian ginseng,digoxin,POSITIVE,0
5,"aids: <e1> st. john's wort </e1>, an herbal treatment for depression, should not be combined with certain drugs, including some <e2> antiretrovirals </e2>",st. john's wort,antiretrovirals,POSITIVE,0
6,<e1> dehydrofelodipine </e1> auc (74.7 +/- 28.7 vs 48.5 +/- 16.3 ng ml-1 h; p < 0.01) and cmax (12.1 +/- 2.9 vs 7.9 +/- 2.6 ng ml-1; p < 0.01) were augmented with <e2> grapefruit </e2> juice compared with water,dehydrofelodipine,grapefruit,POSITIVE,0
7,our results clarified that oral administration of <e1> a. officinarum </e1> produced significant alterations in the pharmacokinetic parameters of <e2> indomethacin </e2>,a. officinarum,indomethacin,POSITIVE,0
8,"other herbal remedies with the potential to modulate <e2> cytochrome p450 </e2> activity and thus participate in interactions with conventional drugs include milk thistle, angelica dahurica, ginseng, garlic preparations, danshen and <e1> liquorice </e1>",liquorice,cytochrome p450,POSITIVE,0
9,"subjects received <e1> atenolol </e1> with either 300 ml water, 1200 ml <e2> apple </e2> juice or 600 ml <e2> apple </e2> juice",atenolol,apple,SPECULATIVE,0
10,. conclusions: the present investigation demonstrates that <e1> rhodiola rosea l. </e1> roots have potent anti-depressant activity by inhibiting <e2> mao a </e2> and may also find application in the control of senile dementia by their inhibition of mao b,rhodiola rosea l.,mao a,POSITIVE,0
11,"previous in vitro studies indicate that curcuminoids and <e1> piperine </e1> (a black pepper derivative that enhances curcuminoid bioavailability) could inhibit human cyp3a, <e2> cyp2c9 </e2>, ugt and sult dependent drug metabolism",piperine,cyp2c9,POSITIVE,0
12,patients detected with hiv or cancer often consume herbal products especially <e1> st. john's wort </e1> (sjw) for antidepressants in combination with <e2> prescription medicines </e2>,st. john's wort,prescription medicines,SPECULATIVE,0
13,"however, neither <e1> echinacea </e1> nor policosanol significantly affected <e2> warfarin </e2> pharmacodynamics, platelet aggregation or baseline clotting status in healthy subjects",echinacea,warfarin,NEGATIVE,0
